description,image,href,price,resolution,weight,color,operating_system,model,cpu
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" 16:10 FHD 165Hz, GeForce RTX 4050, Intel Core i5-13450HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JU-NS54",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-429-01.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614ju-ns54-gaming/p/N82E16834236429,1004.39,Resolution: 1920 x 1200,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JU-NS54,
"MSI GF Series Thin GF63 12UC-851US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 3050 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-561-01.png,https://www.newegg.com/global/uk-en/black-msi-gf-series-thin-gf63-12uc-851us-gaming/p/N82E16834156563,601.19,Resolution: 1920 x 1080,Weight: 4.10 lbs.,Color: Black,Operating System: Windows 11 Home 64-bit,Model : Thin GF63 12UC-851US,
"Lenovo Legion Pro 5 16IRX8 82WK000BUS 16.0"" 165 Hz IPS Intel Core i7 13th Gen 13700HX (2.10GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-205-18.jpg,https://www.newegg.com/global/uk-en/onyx-grey-aluminium-pc-abs-lenovo-legion-pro-5-16irx8-82wk000bus-gaming/p/N82E16834840205,1255.19,Resolution: 2560 x 1600,Weight: 5.60 lbs.,"Color: Onyx Grey, Aluminium (Top), PC-ABS (Bottom)",Operating System: Windows 11 Home 64-bit,Model : 82WK000BUS,
"Acer Nitro V ANV15-51-59MT 15.6"" 144 Hz IPS Intel Core i5 13th Gen 13420H (2.10GHz) NVIDIA GeForce RTX 4050 Laptop GPU 8GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-318-12.jpg,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-v-anv15-51-59mt-gaming/p/N82E16834360318,851.99,Resolution: 1920 x 1080,Weight: 4.66 lbs.,Color: Obsidian Black,,Model : NH.QN8AA.001,
"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707XI-NS94",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-430-20.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-f17-fa707xi-ns94/p/N82E16834236430,1405.19,Resolution: 1920 x 1080,Weight: 5.73 lbs.,,,Model : FA707XI-NS94,
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" Nebula Display 16:10 QHD 240Hz, GeForce RTX 4070, Intel Core i9-13980HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G614JI-XS96",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-376-19.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614ji-xs96-gaming/p/N82E16834236376,2127.59,Resolution: 2560 x 1600,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JI-XS96,
"Acer Nitro 5 AN515-58-56CH 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12500H (2.50GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-248-03.png,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-5-an515-58-56ch-gaming/p/N82E16834360248,961.19,Resolution: 1920 x 1080,Weight: 5.51 lbs.,Color: Obsidian Black,,Model : NH.QLZAA.001,
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" 16:10 QHD+ 240Hz, GeForce RTX 4060, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-ES94",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-449-01.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g16-g614jv-es94-gaming/p/N82E16834236449,1737.59,Resolution: 2560 x 1600,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G614JV-ES94,
"Lenovo LOQ 16IRH8 82XW001WUS 16.0"" 144 Hz IPS Intel Core i7 13th Gen 13620H (2.40GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-204-14.jpg,https://www.newegg.com/global/uk-en/storm-grey-lenovo-loq-16irh8-82xw001wus-gaming/p/N82E16834840204,958.79,Resolution: 1920 x 1200,Weight: 5.73 lbs.,"Color: Storm Grey, PC-ABS (Top), PC-ABS (Bottom)",Operating System: Windows 11 Home 64-bit,Model : 82XW001WUS,
"Lenovo Legion Pro 7 16IRX8H 82WQ005CUS 16.0"" 240 Hz IPS Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4090 Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-207-17.jpg,https://www.newegg.com/global/uk-en/onyx-grey-lenovo-legion-pro-7-16irx8h-82wq005cus-gaming/p/N82E16834840207,2885.99,Resolution: 2560 x 1600,Weight: 6.17 lbs.,Color: Onyx Grey (Aluminium),Operating System: Windows 11 Home 64-bit,Model : 82WQ005CUS,
"ASUS ROG Strix SCAR 17 X3D (2023) Gaming Laptop, 17.3"" QHD 240Hz/3ms, 100% DCI-P3 Display, GeForce RTX 4090, AMD Ryzen?9?7945HX3D, 32GB DDR5, 2TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G733PYV-XH97",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-479-12.jpg,https://www.newegg.com/global/uk-en/off-black-asus-rog-strix-scar-17-x3d-g733pyv-xh97-gaming/p/N82E16834236479,3881.99,Resolution: 2560 x 1440,Weight: 6.61 lbs.,,,Model : G733PYV-XH97,
"Acer Predator Helios 16 PH16-71-71AV 16.0"" 165 Hz IPS Intel Core i7 13th Gen 13700HX (2.10GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-249-12.jpg,https://www.newegg.com/global/uk-en/abyssal-black-acer-predator-helios-16-ph16-71-71av-gaming/p/N82E16834360249,1576.79,Resolution: 2560 x 1600,Weight: 5.73 lbs.,Color: Abyssal Black,,Model : NH.QJQAA.002,
"MSI Pulse 15 B13VGK-287US 15.6"" 165 Hz Intel Core i9 13th Gen 13900H (2.60GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-425-V06.jpg,https://www.newegg.com/global/uk-en/p/N82E16834156425,1605.59,Resolution: 2560 x 1440,Weight: 5.07 lbs.,Color: Black,Operating System: Windows 11 Home 64-bit,Model : Pulse 15 B13VGK-287US,
"Acer Predator Helios 300 PH315-55-79KT 15.6"" 165 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-322-03.png,https://www.newegg.com/global/uk-en/abyssal-black-acer-predator-helios-300-ph315-55-79kt-gaming/p/N82E16834360322,1033.19,Resolution: 2560 x 1440,Weight: 5.73 lbs.,Color: Abyssal Black,,Model : NH.QJ6AA.001,
"Lenovo Legion Pro 5 16IRX8 82WK00AHUS 16.0"" 165 Hz IPS Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-840-206-01.jpg,https://www.newegg.com/global/uk-en/onyx-grey-aluminium-pc-abs-lenovo-legion-pro-5-16irx8-82wk00ahus-gaming/p/N82E16834840206,1706.39,Resolution: 2560 x 1600,Weight: 5.60 lbs.,"Color: Onyx Grey, Aluminium (Top), PC-ABS (Bottom)",Operating System: Windows 11 Home 64-bit,Model : 82WK00AHUS,
"ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3"" 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-224-01.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-rog-strix-g17-g713rc-rs73-gaming/p/N82E16834236224,1149.59,Resolution: 1920 x 1080,Weight: 5.51 lbs.,Color: Eclipse Gray,,Model : G713RC-RS73,
"ASUS TUF Gaming F15 Gaming Laptop, 15.6"" 144Hz FHD IPS-Type Display, Intel Core i5-11400H Processor, GeForce RTX 3050, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506HC-UB51",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-458-22.jpg,https://www.newegg.com/global/uk-en/eclipse-gray-asus-tuf-gaming-f15-fx506hc-ub51/p/N82E16834236458,761.99,Resolution: 1920 x 1080,Weight: 5.07 lbs.,Color: Eclipse Gray,,Model : FX506HC-UB51,
"MSI Cyborg 15 A12UCX-276US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 2050 Laptop GPU 16GB Memory 512 GB SSD Windows 11 Home Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-487-01.png,https://www.newegg.com/global/uk-en/p/N82E16834156487,790.79,Resolution: 1920 x 1080,Weight: 4.37 lbs.,Color: Black,Operating System: Windows 11 Home,Model : Cyborg 15 A12UCX-276US,
"Razer Blade 16 RZ09-0483TEH3-R3U1 16.0"" QHD+ 240 Hz Intel Core i9 13th Gen 13950HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32 GB DDR5 Memory 1 TB PCIe SSD Windows 11 Home Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-326-089-03.jpg,https://www.newegg.com/global/uk-en/black-razer-blade-16-rz09-0483teh3-r3u1/p/N82E16834326089,990.0,Resolution: 2560 x 1600,Weight: 5.4 lbs.,Color: Black,Operating System: Windows 11 Home,Model : RZ09-0483TEH3-R3U1,
"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NU-DS74",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-390-15.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-a17-fa707nu-ds74/p/N82E16834236390,1197.59,Resolution: 1920 x 1080,Weight: 4.85 lbs.,Color: Mecha Gray,,Model : FA707NU-DS74,
"Acer Predator Helios 16 PH16-71-72YG 16.0"" 240 Hz IPS Intel Core i7 13th Gen 13700HX (2.10GHz) NVIDIA GeForce RTX 4070 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-249-08.jpg,https://www.newegg.com/global/uk-en/abyssal-black-acer-predator-helios-16-ph16-71-72yg-gaming/p/N82E16834360250,1827.59,Resolution: 2560 x 1600,Weight: 5.73 lbs.,Color: Abyssal Black,,Model : NH.QJRAA.001,
"ASUS ROG Zephyrus Duo 16 (2023) Gaming Laptop, 16” Mini LED 240Hz/3ms, QHD 16:10 Display, 100% DCI-P3, NVIDIA GeForce RTX 4090, AMD Ryzen 9 7945HX, 32GB DDR5, 2TB SSD, Windows 11 Pro, GX650PY-XS97",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-359-03.jpg,https://www.newegg.com/global/uk-en/black-asus-rog-zephyrus-duo-16-gx650py-xs97-gaming/p/N82E16834236359,4048.79,Resolution: 2560 x 1600,Weight: 5.89 lbs.,Color: Black,,Model : GX650PY-XS97,
"ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6"" FHD 144Hz, 100% sRGB Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507XI-EH94",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-481-21.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-a15-fa507xi-eh94/p/N82E16834236481,1629.59,Resolution: 1920 x 1080,Weight: 4.85 lbs.,Color: Mecha Gray,,Model : FA507XI-EH94,
"ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6"" FHD 144Hz, 100% sRGB Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507NU-DS74",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-389-04.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-a15-fa507nu-ds74/p/N82E16834236389,1150.79,Resolution: 1920 x 1080,Weight: 4.85 lbs.,Color: Mecha Gray,,Model : FA507NU-DS74,
"Acer Predator Helios 16 PH16-71-94FB 16.0"" 250 Hz Mini LED Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32GB Memory 2 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-271-08.jpg,https://www.newegg.com/global/uk-en/abyssal-black-acer-predator-helios-16-ph16-71-94fb-gaming/p/N82E16834360271,2763.59,Resolution: 2560 x 1600,Weight: 5.73 lbs.,Color: Abyssal Black,,Model : NH.QJSAA.001,
"MSI GE Series Raider GE68HX 13VG-082US 16.0"" 240 Hz Intel Core i9 13th Gen 13980HX (2.20GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32 GB DDR5 Memory 2 TB PCIe SSD Windows 11 Pro 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-498-28.jpg,https://www.newegg.com/global/uk-en/black-msi-ge-series-raider-ge68hx-13vg-082us-gaming/p/N82E16834156498,2665.19,Resolution: 2560 x 1600,Weight: 5.95 lbs.,Color: Black,Operating System: Windows 11 Pro 64-bit,Model : Raider GE68HX 13VG-082US,
"ASUS TUF Gaming A17 FA707NV-ES74 17.3"" 144 Hz IPS AMD Ryzen 7 7000 Series 7735HS (3.20GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-236-441-20.jpg,https://www.newegg.com/global/uk-en/mecha-gray-asus-tuf-gaming-a17-fa707nv-es74-home-personal/p/N82E16834236441,1438.80,Resolution: 1920 x 1080,Weight: 5.73 lbs.,Color: Mecha Gray,,Model : FA707NV-ES74,
"Acer Nitro 16 AN16-41-R5KC 16.0"" 165 Hz IPS AMD Ryzen 9 7000 Series 7940HS (4.00GHz) NVIDIA GeForce RTX 4070 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-269-05.jpg,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-16-an16-41-r1we-gaming/p/N82E16834360270,1754.39,Resolution: 2560 x 1600,Weight: 5.95 lbs.,Color: Obsidian Black,,Model : NH.QLJAA.001,
"Razer Blade 18 Gaming Laptop 18.0"" QHD+ 240 Hz Intel Core i9 13th Gen 13950HX (2.20GHz) NVIDIA GeForce RTX 4090 Laptop GPU 32 GB DDR5 5600MHz Memory 2 TB SSD Windows 11 Home Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-326-091-04.jpg,https://www.newegg.com/global/uk-en/black-razer-blade-18-rz09-0484ueh4-r3u1-gaming/p/N82E16834326092,4414.79,Resolution: 2560 x 1600,Weight: 6.75 lbs.,Color: Black,Operating System: Windows 11 Home,Model : RZ09-0484UEH4-R3U1,
"Acer Nitro 16 AN16-41-R3ZV 16.0"" 165 Hz IPS AMD Ryzen 5 7000 Series 7640HS (4.30GHz) NVIDIA GeForce RTX 4050 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-285-10.jpg,https://www.newegg.com/global/uk-en/obsidian-black-acer-nitro-16-an16-41-r3zv-gaming/p/N82E16834360285,1202.39,Resolution: 1920 x 1200,Weight: 5.95 lbs.,Color: Obsidian Black,,Model : NH.QLKAA.001,
"Acer Predator Helios 3D 15 SpatialLabs Edition PH3D15-71-94PP 15.6"" 60 Hz Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32GB Memory 2 TB PCIe SSD Windows 11 Home Gaming L",https://c1.neweggimages.com/ProductImageCompressAll300/34-360-315-10.png,https://www.newegg.com/global/uk-en/abyssal-black-acer-predator-helios-3d-15-spatiallabs-edition-ph3d15-71-94pp-gaming/p/N82E16834360315,4012.79,Resolution: 3840 x 2160,Weight: 6.58 lbs.,Color: Abyssal Black,,Model : NH.QLWAA.001,
"MSI Stealth 17 Studio A13VI-017US 17.3"" 240 Hz Intel Core i9 13th Gen 13900H (2.60GHz) NVIDIA GeForce RTX 4090 Laptop GPU 64GB Memory 2 TB NVMe SSD Windows 11 Pro 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-423-21.jpg,https://www.newegg.com/global/uk-en/p/N82E16834156423,4143.59,Resolution: 2560 x 1440,Weight: 6.17 lbs.,Color: Black,Operating System: Windows 11 Pro 64-bit,Model : Stealth 17Studio A13VI-017US,
"MSI GF Series Thin GF63 12UC-824US 15.6"" 144 Hz IPS Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 3050 Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-556-01.png,https://www.newegg.com/global/uk-en/black-msi-gf-series-thin-gf63-12uc-824us-gaming/p/N82E16834156555,1000.79,Resolution: 1920 x 1080,Weight: 4.10 lbs.,Color: Black,Operating System: Windows 11 Home 64-bit,Model : Thin GF63 12UC-824US,
"MSI Stealth 15 A13VF-038US 15.6"" 144 Hz IPS Intel Core i5 13th Gen 13420H (2.10GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-420-01.jpg,https://www.newegg.com/global/uk-en/p/N82E16834156420,1253.99,Resolution: 1920 x 1080,Weight: 4.63 lbs.,Color: Core Black,Operating System: Windows 11 Home 64-bit,Model : Stealth 15 A13VF-038US,
"MSI Crosshair 17 B12UGZ-295 17.3"" 144 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImageCompressAll300/34-156-241-01.jpg,https://www.newegg.com/global/uk-en/p/N82E16834156241,1905.59,Resolution: 1920 x 1080,Weight: 6.17 lbs.,Color: Multi-Color Gradient,Operating System: Windows 11 Home 64-bit,Model : CH 17 B12UGZ-295,
